species	1998	1978	2004	2013	2009	2016	2020	2019	2017	2000	2018	2003	2015	2014	2006	2011	2008	2010	2012	1997
Bulbophyllum sandrangatense								VU												
Bulbophyllum auriflorum													EN							
Bulbophyllum peyrotii								VU												
Aeranthes denticulata								VU												
Angraecum moratii													EN							
Angraecum pseudofilicornu								VU												
Aloe vaombe							LC													
Benthamia praecox													EN							
Bulbophyllum paleiferum													EN							
Benthamia humbertii													EN							
Benthamia calceolata									EN											
Benthamia elata													EN							
Angraecum protensum													EN							
Bulbophyllum horizontale								EN					EN							
Aeranthes antennophora													EN							
Aeranthes angustidens								VU												
Bulbophyllum analamazoatrae								NT												
Benthamia procera													EN							
Chlorophytum burundiense									EN											
Polystachya lacroixiana									CR											
Allium therinanthum									EN											
Allium akirense									CR											
Zeuxine rolfiana						CR														
Aloe capitata							LC													
Aloe deltoideodonta							LC													
Aloe guillaumetii							CR													
Aloe humbertii							LC													
Aloe imalotensis							NT													
Aloe macroclada							LC													
Aloe cipolinicola							NT													
Aloe gneissicola							VU													
Dracaena tamaranae									CR											
Allium basalticum									EN											
Allium meronense									EN											
Allium validum									LC											
Iris lacustris									NT											
Allium rhabdotum									LC											
Eria bhutanica									DD											
Goodyera alveolata									DD											
Papilionanthe greenii									LC											
Cephalanthera erecta var. oblanceolata									DD											
Herminium pygmaeum									NT											
Allium pseudocalyptratum							EN													
Aloe acutissima							LC													
Aloe albiflora							CR													
Aloe albostriata							EN													
Aloe alfredii							EN													
Aloe ambositrae							CR													
Aloe ambrensis							EN													
Aloe ampefyana							EN													
Aloe analavelonensis							EN													
Aloe andringitrensis							LC													
Aloe anivoranoensis							EN													
Aloe ankaranensis							EN													
Aloe antandroi							VU													
Aloe antoetrana							EN													
Aloe antonii							LC													
Aloe antsingyensis							LC													
Aloe argyrostachys							EN													
Aloe aurelienii							CR													
Aloe beankaensis											CR									
Aloe bellatula							CR													
Aloe berevoana							EN													
Aloe bernardii							EN													
Aloe bosseri							LC													
Aloe bruynsii							EN													
Selenipedium dodsonii						EN														
Selenipedium chironianum						CR														
Phragmipedium anguloi						CR														
Selenipedium vanillocarpum						CR														
Phragmipedium dalessandroi						CR														
Iris mesopotamica						DD														
Aerangis punctata								NT												
Aerangis flexuosa											EN									
Aerangis gracillima											LC									
Aerangis megaphylla											CR									
Ancistrochilus thomsonianus											LC									
Ancistrorhynchus crystalensis											EN									
Ancistrorhynchus serratus											NT									
Angraecopsis dolabriformis											EX									
Angraecopsis lisowskii											EN									
Angraecopsis thomensis											CR									
Angraecum angustum											EN									
Angraecum astroarche											EX									
Angraecum cribbianum											CR									
Angraecum curvipes											EN									
Angraecum egertonii											VU									
Brachycorythis basifoliata											EN									
Bulbophyllum alinae											VU									
Bulbophyllum blepharochilum											DD									
Bulbophyllum calvum											VU									
Bulbophyllum curvimentatum											EN									
Bulbophyllum dolabriforme											EN									
Bulbophyllum fayi											VU									
Bulbophyllum luciphilum											EN									
Bulbophyllum mediocre											EN									
Bulbophyllum nummularia											DD									
Bulbophyllum pauwelsianum							EN													
Bulbophyllum sangae											DD									
Bulbophyllum subligaculiferum											EN									
Chamaeangis thomensis											EN									
Chamaeangis vagans											EN									
Cribbia pendula											EN									
Cribbia thomensis											EN									
Cynorkis gabonensis											NT									
Aeranthes strangulata								VU												
Bulbophyllum aggregatum								VU												
Bulbophyllum petrae								EN												
Bulbophyllum uroplatoides								CR												
Satyrium trinerve											LC									
Romulea variicolor											LC									
Crocus jablanicensis											LC									
Bulbophyllum coriscense											VU									
Distylodon sonkeanum							CR													
Bulbophyllum apertiflorum							CR													
Bulbophyllum excavatum											DD									
Bulbophyllum summerhayesianum							EN													
Habenaria alinae							CR													
Habenaria bosseriana							CR													
Habenaria letouzeyana							EN													
Habenaria linguiformis							EN													
Habenaria phantasma							EN													
Habenaria phylacocheira							CR													
Habenaria prionocraspedon							VU													
Halleorchis aspidogynoides							EN													
Liparis ascendens							EN													
Liparis kamerunensis							CR													
Liparis letouzeyana							CR													
Liparis rosseelii							EN													
Polystachya anthoceros							EN													
Polystachya bamendae							EN													
Polystachya biteaui							EN													
Polystachya expansa							EN													
Polystachya kubalae							VU													
Polystachya lejolyana							EN													
Polystachya parviflora							EN													
Habenaria angustissima								EN												
Habenaria jacobii								EN												
Anacamptis pyramidalis var. urvilleana									LC											
Asparagus macrorrhizus											CR									
Allium vernale									LC											
Epipactis hyblaea									CR											
Prospero corsicum											LC									
Allium panormitanum									DD											
Allium samniticum									LC											
Allium meikleanum									NT											
Allium pelagicum									VU											
Epipactis pinovica								VU												
Astelia argyrocoma						EN														
Chrysodracon aurea											EN									
Prospero cyrenaica											NT									
Leopoldia maritima							VU													
Agave aktites							VU													
Cordyline fruticosa								LC												
Agave angustifolia								LC												
Aloe lolwensis								EN												
Aloe springatei-neumannii								EN												
Chlorophytum cameronii var. ruziziense									EN											
Chlorophytum hirsutum									EN											
Angraecum spectabile									DD											
Polystachya virginea var. parva									EN											
Drimia sudanica								EN												
Dracaena calocephala								VU												
Romulea assumptionis									LC											
Aloe leandrii								CR												
Liparis vulturiceps											EN									
Habenaria tianae											EN									
Vanilla planifolia									EN											
Satyrium monadenum											DD									
Satyrium princeae											DD									
Disa roeperocharoides											DD									
Disa ukingensis											DD									
Disa verdickii							DD				DD									
Disa dichroa											DD									
Disa satyriopsis											DD									
Disa celata											DD									
Satyrium compactum											DD									
Satyrium elongatum											DD									
Satyrium shirense											DD									
Satyrium microcorys											DD									
Satyrium anomalum											DD									
Aloiampelos gracilis						LC														
Amaryllis paradisicola						VU														
Aloe nubigena						LC														
Aloe striata						LC														
Aloe framesii						NT														
Aloe hahnii						NT														
Albuca roodeae						DD														
Albuca albucoides						EN														
Albuca nana						CR														
Asparagus aggregatus						LC														
Asparagus sekukuniensis						EN														
Kniphofia bequaertii								EN												
Disperis natascha-oppeltae								LC												
Disperis reklieberae								LC												
Disperis stefan-jetteri								LC												
Eulophia pocsii								LC												
Gastrodia rwandensis								LC												
Habenaria eggelingii								LC												
Habenaria lehae								LC												
Polystachya leucorhoda								VU												
Polystachya retusiloba								LC												
Polystachya ruwenzoriensis								LC												
Rhipidoglossum delepierreanum								LC												
Stolzia heiligenthalii								LC												
Stolzia kalkhof-roseae								LC												
Stolzia williamsonii								LC												
Tridactyle nanne-ritzkae								LC												
Polystachya anastacialynae								LC												
Polystachya disticha								EN												
Polystachya erica-lanzae								CR												
Dendrobium whistleri							VU													
Vanilla odorata									EN											
Vanilla pompona									EN											
Vanilla phaeantha									EN											
Vanilla insignis									EN											
Vanilla inodora							EN		EN											
Vanilla helleri							DD													
Vanilla cribbiana									CR											
Worsleya procera						CR														
Griffinia intermedia						EN														
Asparagus squarrosus									LC											
Habenaria petromedusa									EX											
Aloe torrei											DD									
Gladiolus zambesiacus											VU									
Aloe citrea							EN													
Aloe divaricata							LC													
Aloe calcairophila							EN													
Aloe castilloniae							LC													
Aloe charlotteae							LC													
Aloe compressa							VU													
Aloe decaryi							EN													
Aloe decorsei							CR													
Aloe delicatifolia							EN													
Aloe descoingsii							EN													
Aloe droseroides							EN													
Aloe edouardii							CR													
Aloe eximia							EN													
Aloe fleuretteana							EN													
Aloe florenceae							EN													
Aloe fragilis							CR													
Pectinariella scroticalcar								EN												
Pectinariella edmundi								EN												
Aloe ifanadianae							LC													
Aloe inexpectata							EN													
Aloe ivakoanyensis							EN													
Aloe johannis							EN													
Aloe laeta							EN													
Aloe lucile-allorgeae							DD													
Aloe manandonae							VU													
Aloe mandotoensis							EN													
Aloe mandrarensis							CR													
Aloe martialii							LC													
Aloe megalocarpa							EN													
Aloe millotii							LC													
Aloe mitsioana							LC													
Aloe mottramiana							CR													
Aloe namorokaensis							LC													
Aloe newtonii							VU													
Aloe occidentalis							LC													
Aloe oligophylla							DD													
Aloe peyrierasii							VU													
Aloe pronkii							EN													
Aloe propagulifera							DD													
Aloe prostrata							DD													
Aloe pseudoparvula							EN													
Aloe rapanarivoi							EN													
Aloe rebmannii							EN													
Aloe rodolphei							EN													
Aloe roeoeslii							LC													
Aloe rosea							EN													
Aloe rugosquamosa							CR													
Aloe sakarahensis							VU													
Dracaena kupensis							EN													
Chlorophytum caudatibracteatum											DD									
Chlorophytum benuense							EN													
Aloe schilliana							CR													
Aloe silicicola							EW													
Aloe socialis							CR													
Aloe spinitriaggregata							EN													
Aloe suarezensis							LC													
Aloe trachyticola							EN													
Aloe vaotsanda							VU													
Aloe versicolor							EN													
Aloe viguieri							EN													
Yucca guatemalensis							DD													
Aloe arborescens								LC												
Aloe asperifolia								LC												
Aloe bulbicaulis								LC												
Aloe cameronii								LC												
Aloe canis								EN												
Aloe cannellii								LC												
Aloe carnea							LC													
Aloe collina							VU													
Aloe dawei								LC												
Aloe decurva								CR												
Aloe duckeri								LC												
Aloe fimbrialis								CR												
Aloe gariepensis								LC												
Aloe gautieri							EN													
Aloe greatheadii								LC												
Aloe haroniensis								DD												
Aloe hereroensis								LC												
Aloe inyangensis							LC													
Aloe littoralis								LC												
Aloe marlothii								LC												
Aloe mawii								LC												
Aloe mendesii								LC												
Aloe mocamedensis								LC												
Aloe parvibracteata								LC												
Aloe mossurilensis								CR												
Aloe myriacantha								LC												
Aloe niensiensis								DD												
Aloe nigrimontana								LC												
Aloe nuttii								LC												
Aloe nugalensis								DD												
Aloe pavelkae								LC												
Aloe ribauensis								EN												
Aloe rupestris								LC												
Aloe scorpioides								LC												
Romulea rollii											LC									
Aloe virginieae							CR													
Aloe werneri							EN													
Aloe venenosa								DD												
Aloe wanalensis								LC												
Allium scaberrimum											VU									
Aloe zubb								CR												
Charybdis anthericoides									EN											
Ancistrorhynchus tenuicaulis								VU												
Cynorkis rungweensis								VU												
Habenaria macrostele								NT												
Microcoelia bulbocalcarata								LC												
Polystachya eurygnatha								EN												
Polystachya laurentii								VU												
Polystachya nyanzensis								VU												
Rhipidoglossum bilobatum								VU												
Rhipidoglossum globulosocalcaratum								EN												
Satyrium ecalcaratum								LC												
Triceratorhynchus viridiflorus								VU												
Allium iatrouinum									CR											
Allium pycnotrichum									EN											
Agave abisaii								EN												
Agave albomarginata								EN												
Agave albopilosa								CR												
Agave andreae								VU												
Agave angustiarum								LC												
Agave applanata								LC												
Agave arcedianoensis								VU												
Agave asperrima								LC												
Agave atrovirens								LC												
Agave attenuata								LC												
Agave aurea								LC												
Agave avellanidens								NT												
Agave azurea								VU												
Agave boldinghiana								VU												
Agave bovicornuta								VU												
Agave bracteosa											LC									
Agave cacozela								EN												
Agave cerulata								LC												
Agave chazaroi								VU												
Agave chiapensis								VU												
Agave chrysantha							LC													
Agave chrysoglossa								LC												
Agave cocui							LC													
Agave colorata								LC												
Agave congesta								LC												
Agave convallis								VU												
Agave cundinamarcensis								EN												
Agave cupreata							EN													
Agave dasylirioides							EN													
Agave datylio								LC												
Agave decipiens							VU													
Agave deserti								LC												
Agave difformis											LC									
Agave doctorensis								CR												
Agave ellemeetiana								LC												
Agave felgeri							VU													
Agave filifera								LC												
Agave flexispina								VU												
Agave fortiflora							CR													
Agave funkiana								LC												
Agave garciae-mendozae							VU													
Agave geminiflora								VU												
Agave gentryi								LC												
Agave ghiesbreghtii								LC												
Agave gigantensis								LC												
Agave gomezpompae								VU												
Agave gracielae								LC												
Agave guadalajarana								EN												
Agave gypsophila								CR												
Agave harrisii								LC												
Agave havardiana							VU													
Agave hiemiflora								LC												
Agave horrida								LC												
Agave hurteri								LC												
Agave impressa							EN													
Agave inaequidens								LC												
Agave isthmensis								VU												
Agave jaiboli							VU													
Agave jimenoi							LC													
Agave karwinskii								VU												
Agave kavandivi								CR												
Agave kerchovei								VU												
Agave kristenii								CR												
Agave lagunae								CR												
Agave macroacantha								EN												
Agave manantlanicola							EN													
Agave margaritae								LC												
Agave marmorata								LC												
Agave maximiliana								LC												
Agave mckelveyana							NT													
Agave microceps							LC													
Agave missionum											VU									
Agave mitis								LC												
Agave montana								LC												
Agave montium-sancticaroli								CR												
Agave moranii											LC									
Agave multifilifera								LC												
Agave nashii								EN												
Agave nayaritensis								VU												
Agave nickelsiae								CR												
Agave nizandensis							CR													
Agave nuusaviorum								VU												
Agave obscura								LC												
Agave ocahui							NT													
Agave ornithobroma							VU	VU												
Agave oroensis								DD												
Agave ortgiesiana								LC												
Agave pachycentra								LC												
Agave palmeri								LC												
Agave parrasana								VU												
Agave parryi							LC													
Agave parvidentata								LC												
Agave parviflora							LC													
Agave peacockii								VU												
Agave pelona								CR												
Agave pendula								LC												
Agave petrophila								EN												
Agave pintilla								CR												
Agave polianthiflora							LC													
Agave potatorum								VU												
Agave rhodacantha								DD												
Agave salmiana								LC												
Agave scaposa								LC												
Agave schidigera								LC												
Agave schottii							LC													
Agave sebastiana								LC												
Agave seemanniana								LC												
Agave shawii								LC												
Agave shrevei								LC												
Agave sobria								LC												
Agave striata								LC												
Agave stricta								LC												
Agave stringens								DD												
Agave subsimplex							VU													
Agave tecta								CR												
Agave temacapulinensis								CR												
Agave tenuifolia											LC									
Agave thomasiae								VU												
Agave titanota							EN													
Agave toumeyana								LC												
Agave triangularis								VU												
Agave turneri							EN													
Agave univittata								LC												
Agave utahensis							LC													
Agave valenciana								CR												
Agave vazquezgarciae								LC												
Agave victoriae-reginae											LC									
Agave vilmoriniana								LC												
Agave vivipara							VU													
Agave vizcainoensis								LC												
Agave wallisii								CR												
Agave warelliana							EN													
Agave wercklei								LC												
Agave wocomahi								LC												
Agave xylonacantha								LC												
Agave zebra								VU												
Cochleanthes trinitatis									EN											
Epidendrum fusiforme									EN											
Epidendrum hombersleyi									VU											
Epidendrum lanceolatum									CR											
Microchilus schultesianus									EN											
Chlorophytum immaculatum								VU												
Gladiolus chevalierianus								EN												
Gladiolus praecostatus								VU												
Allium duriaeanum								EN												
Yucca angustissima							LC													
Yucca arkansana							LC													
Yucca baccata							LC													
Yucca baileyi							LC													
Yucca brevifolia							LC													
Yucca campestris							EN													
Yucca capensis							EN													
Yucca carnerosana							LC													
Yucca cernua							EN													
Yucca coahuilensis							VU													
Yucca constricta							LC													
Yucca decipiens							LC													
Yucca declinata							DD													
Yucca elata							LC													
Yucca endlichiana							EN													
Yucca faxoniana							LC													
Yucca filamentosa							LC													
Yucca filifera							LC													
Yucca glauca							LC													
Yucca gloriosa							LC													
Yucca grandiflora							LC													
Yucca harrimaniae							LC													
Yucca intermedia							LC													
Yucca jaliscensis							VU													
Yucca lacandonica							EN													
Yucca linearifolia							VU													
Yucca madrensis							DD													
Yucca mixtecana							VU													
Yucca necopina							VU													
Yucca neomexicana							LC													
Yucca pallida							LC													
Yucca periculosa							NT													
Yucca potosina							VU													
Yucca queretaroensis							EN													
Yucca reverchonii							LC													
Yucca rigida							LC													
Yucca rostrata							LC													
Yucca rupicola							LC													
Yucca schidigera							LC													
Yucca thompsoniana							LC													
Yucca treculeana							VU													
Yucca utahensis							LC													
Yucca valida							LC													
Allium notabile									DD											
Bulbophyllum aechmophorum											LC									
Bulbophyllum algidum											DD									
Bulbophyllum alveatum											VU									
Bulbophyllum ankylochele											LC									
Bulbophyllum ankylorhinon											LC									
Bulbophyllum antennatum											LC									
Bulbophyllum argoxanthum											DD									
Bulbophyllum artostigma											DD									
Bulbophyllum baculiferum											DD									
Bulbophyllum bigibbum											LC									
Bulbophyllum bliteum											EN									
Bulbophyllum brachypetalum											LC									
Bulbophyllum brassii											LC									
Bulbophyllum callichroma											LC									
Bulbophyllum calviventer											LC									
Bulbophyllum cardiophyllum											DD									
Bulbophyllum cateorum											LC									
Bulbophyllum cavibulbum											DD									
Bulbophyllum chlororhopalon											DD									
Bulbophyllum cimicinum											EN									
Bulbophyllum colliferum											LC									
Bulbophyllum concavibasalis											DD									
Bulbophyllum conchophyllum											CR									
Bulbophyllum corrugatum											DD									
Bulbophyllum cruttwellii											LC									
Bulbophyllum cycloglossum											LC									
Bulbophyllum decarhopalon											VU									
Bulbophyllum dekockii											LC									
Bulbophyllum dendrochiloides											LC									
Bulbophyllum desmotrichoides											LC									
Bulbophyllum digitatum											DD									
Bulbophyllum dijkstalianum											DD									
Bulbophyllum discolor											LC									
Bulbophyllum fonsflorum											LC									
Bulbophyllum fractiflexum											LC									
Bulbophyllum glaucum											DD									
Bulbophyllum grammopoma											LC									
Bulbophyllum gyaloglossum											LC									
Bulbophyllum hengstumianum											VU									
Bulbophyllum heterorhopalon											DD									
Bulbophyllum hiljeae											EN									
Bulbophyllum hirudiniferum											VU									
Bulbophyllum imitator											LC									
Bulbophyllum inciferum											DD									
Bulbophyllum inquirendum											DD									
Bulbophyllum johannulii											DD									
Bulbophyllum kaniense											LC									
Bulbophyllum kenae								DD												
Bulbophyllum lagaroglossum								VU												
Bulbophyllum latipes								DD												
Bulbophyllum laxum								LC												
Bulbophyllum lepanthiflorum								LC												
Bulbophyllum leptoleucum								LC												
Bulbophyllum leptophyllum								LC												
Bulbophyllum leucothyrsus								LC												
Bulbophyllum lophoton								DD												
Bulbophyllum macilentum								LC												
Bulbophyllum macneiceae											NT									
Bulbophyllum macrorhopalon											LC									
Bulbophyllum macrourum								LC												
Bulbophyllum mesodon								LC												
Bulbophyllum minutipetalum								LC												
Bulbophyllum mischobulbon								NT												
Bulbophyllum mulderae								LC												
Bulbophyllum myon											LC									
Bulbophyllum mystrophyllum								DD												
Bulbophyllum nocturnum											VU									
Bulbophyllum ochthochilum								DD												
Bulbophyllum octarrhenipetalum								LC												
Bulbophyllum oliganthum								LC												
Bulbophyllum olivinum								LC												
Bulbophyllum oreodoxa								LC												
Bulbophyllum origami								LC												
Bulbophyllum ortalis								LC												
Bulbophyllum pachytelos								LC												
Bulbophyllum parabates								CR												
Bulbophyllum phormion								LC												
Bulbophyllum peltopus								LC												
Bulbophyllum phymatum											DD									
Bulbophyllum pidacanthum								LC												
Bulbophyllum plicatum								DD												
Bulbophyllum posticum								LC												
Bulbophyllum psilorhopalon											VU									
Bulbophyllum ptychantyx								VU												
Bulbophyllum quasimodo								LC												
Bulbophyllum reevei								LC												
Bulbophyllum sceliphron								CR												
Bulbophyllum rhodoleucum								LC												
Bulbophyllum schuitemanii											DD									
Bulbophyllum scopa								LC												
Bulbophyllum scorpio								DD												
Bulbophyllum scutiferum								LC												
Bulbophyllum simile								LC												
Bulbophyllum stenorhopalon											DD									
Bulbophyllum stipulaceum								LC												
Bulbophyllum subapetalum								DD												
Bulbophyllum subpatulum								LC												
Bulbophyllum tanystiche								LC												
Bulbophyllum tarantula											NT									
Bulbophyllum thelantyx											VU									
Bulbophyllum thersites											DD									
Bulbophyllum tindemansianum											VU									
Bulbophyllum tinekeae											EN									
Bulbophyllum toranum											LC									
Bulbophyllum trachypus											LC									
Bulbophyllum triaristella											LC									
Bulbophyllum trifilum											LC									
Bulbophyllum trirhopalon											NT									
Bulbophyllum xanthochlamys											LC									
Calanthe caulescens											LC									
Calanthe habbemensis											DD									
Calanthe lancilabris											DD									
Calanthe versteegii											LC									
Dendrobium aberrans											LC									
Dendrobium alexandrae											NT									
Dendrobium amphigenyum											LC									
Dendrobium angusticaule											DD									
Dendrobium archipelagense											LC									
Dendrobium aries											LC									
Dendrobium armeniacum											LC									
Dendrobium atroviolaceum											VU									
Dendrobium bandaense											CR									
Dendrobium biloculare											LC									
Dendrobium brassii											NT									
Dendrobium brevicaule											LC									
Dendrobium brillianum											CR									
Dendrobium bulbophylloides											LC									
Dendrobium burkeanum											DD									
Dendrobium calophyllum								DD												
Dendrobium cochliodes											LC									
Dendrobium convolutum											DD									
Dendrobium crassilabium											NT									
Dendrobium crispilinguum											VU									
Dendrobium cruttwellii											LC									
Dendrobium curvimentum											DD									
Dendrobium cuthbertsonii											LC									
Dendrobium cyanocentrum											LC									
Dendrobium dekockii											LC									
Dendrobium dendrocolloides											LC									
Dendrobium devosianum											DD									
Dendrobium diceras											DD									
Dendrobium engae											LC									
Dendrobium enigmaticum											DD									
Dendrobium erectilobum											DD									
Dendrobium euryanthum											DD									
Dendrobium eximium											LC									
Dendrobium eymanum								DD												
Dendrobium finisterrae											LC									
Dendrobium flebiliflorum											DD									
Dendrobium forbesii											LC									
Dendrobium fornax											DD									
Dendrobium geotropum											VU									
Dendrobium habbemense											LC									
Dendrobium hamiferum											LC									
Dendrobium helix											NT									
Dendrobium hellwigianum											LC									
Dendrobium informe											DD									
Dendrobium jennyanum											DD									
Dendrobium lancilabium											LC									
Dendrobium lasianthera											LC									
Dendrobium laurensii								DD												
Dendrobium laxiflorum								DD												
Dendrobium leporinum								DD												
Dendrobium leucohybos											LC									
Dendrobium lineale											LC									
Dendrobium margaretiae											LC									
Dendrobium mayandyi											LC									
Dendrobium militare							CR													
Dendrobium mussauense											VU									
Dendrobium nardoides											LC									
Dendrobium nebularum								LC												
Dendrobium nummularia											DD									
Dendrobium odoardi											DD									
Dendrobium otaguroanum											LC									
Dendrobium pachythrix											EN									
Dendrobium parnatanum											DD									
Dendrobium percnanthum								DD												
Dendrobium pleurodes											DD									
Dendrobium putnamii											LC									
Dendrobium racieanum											DD									
Dendrobium rariflorum											LC									
Dendrobium rigidifolium											LC									
Dendrobium rupestre											LC									
Dendrobium ruttenii								DD												
Dendrobium schulleri											DD									
Dendrobium seranicum								LC												
Dendrobium shiraishii											DD									
Dendrobium simplex											LC									
Dendrobium sleumeri											DD									
Dendrobium soriense											VU									
Dendrobium spenceanum											DD									
Dendrobium spinuliferum											DD									
Dendrobium stratiotes								DD												
Dendrobium strepsiceros								DD												
Dendrobium subquadratum											LC									
Dendrobium subuliferum											LC									
Dendrobium sulphureum											LC									
Dendrobium sutiknoi								DD												
Dendrobium tangerinum											VU									
Dendrobium tapiniense											VU									
Dendrobium taurulinum							EN													
Dendrobium torricellense											DD									
Dendrobium uncipes											DD									
Dendrobium vexillarius								LC												
Dendrobium violaceoflavens								LC												
Dendrobium violaceum								LC												
Dendrobium violascens							EN													
Dendrobium williamsianum											NT									
Dendrobium wisselense											LC									
Dendrobium woodsii											LC									
Dendrobium wulaiense											VU									
Devogelia intonsa								LC												
Dryadorchis barbellata								LC												
Dryadorchis dasystele								DD												
Dryadorchis huliorum								DD												
Dryadorchis minor								DD												
Dryadorchis singularis								LC												
Mediocalcar agathodaemonis								LC												
Mediocalcar arfakense								LC												
Mediocalcar bifolium								LC												
Mediocalcar bulbophylloides							VU													
Mediocalcar congestum								LC												
Mediocalcar crenulatum								LC												
Mediocalcar decoratum								LC												
Mediocalcar geniculatum								LC												
Mediocalcar papuanum								DD												
Mediocalcar pygmaeum								LC												
Mediocalcar stevenscoodei							NT													
Mediocalcar subteres								LC												
Mediocalcar umboiense							VU													
Mediocalcar uniflorum								LC												
Mediocalcar versteegii							LC													
Ophioglossella chrysostoma								LC												
Papuaea reticulata								LC												
Ridleyella paniculata								LC												
Hesperoyucca newberryi							LC													
Tritonia moggii								LC												
Cyrtorchis glaucifolia											EN									
Aloe rulkensii								CR												
Scadoxus pole-evansii							NT													
Tulbaghia friesii							LC													
Eriospermum cecilii							LC													
Moraea inyangani							LC													
Aeranthes parkesii							CR													
Neobolusia stolzii							VU													
Neobolusia stolzii var. glabripetala							VU													
Schizochilus cecilii							LC													
Aloe cameronii var. bondana							LC													
Aloe inyangensis var. inyangensis							LC													
Aloe inyangensis var. kimberleyana							LC													
Romulea battandieri											DD									
Asphodelus aestivus											LC									
Agave breedlovei								DD												
Agave capensis								EN												
Agave grijalvensis								EN												
Agave lurida							EW													
Agave panamana								LC												
Agave pax								CR												
Agave potrerana								VU												
Agave promontori								CR												
Agave rzedowskiana							LC													
Agave simplex							LC													
Agave wendtii							EN													
Yucca kanabensis							EN													
Yucca nana							DD													
Yucca schottii							LC													
Psychilis macconnelliae											NT									
Tolumnia prionochila											NT									
Agave huehueteca								LC												
Dasylirion wheeleri								LC												
Nolina bigelovii								LC												
Bulbophyllum absconditum								LC												
Bulbophyllum aphanopetalum								LC												
Bulbophyllum bacilliferum								LC												
Bulbophyllum bulliferum								LC												
Bulbophyllum chloranthum								LC												
Bulbophyllum cylindrobulbum								LC												
Bulbophyllum dichotomum							LC													
Bulbophyllum graciliscapum								LC												
Bulbophyllum hexarhopalon								LC												
Bulbophyllum manobulbum								LC												
Bulbophyllum ochroleucum								LC												
Bulbophyllum orbiculare								LC												
Bulbophyllum vesiculosum								LC												
Coelogyne veitchii							LC													
Dendrobium antennatum							LC													
Dendrobium bifalce							LC													
Dendrobium canaliculatum								LC												
Dendrobium carronii							NT													
Dendrobium conanthum								LC												
Dendrobium discolor								LC												
Dendrobium hodgkinsonii								DD												
Dendrobium johannis							NT													
Dendrobium johnsoniae								LC												
Dendrobium laevifolium								LC												
Dendrobium macrophyllum								LC												
Dendrobium magistratus							EN													
Dendrobium masarangense								LC												
Dendrobium mirbelianum								LC												
Dendrobium nindii								LC												
Dendrobium pachystele								LC												
Dendrobium pentapterum								LC												
Dendrobium petiolatum								LC												
Dendrobium punamense								LC												
Dendrobium puniceum								LC												
Dendrobium rhodostictum								LC												
Dendrobium spectabile								LC												
Dendrobium subacaule								LC												
Dendrobium sylvanum								LC												
Dendrobium trilamellatum								LC												
Dendrobium undatialatum								LC												
Mediocalcar paradoxum								LC												
Rhinerrhizopsis moorei							LC													
Bulbophyllum abbrevilabium								LC												
Bulbophyllum adangense								DD												
Bulbophyllum brachytriche								DD												
Bulbophyllum cheiropetalum							VU													
Bulbophyllum cyanotriche								DD												
Bulbophyllum decatriche								DD												
Bulbophyllum flavofimbriatum							NT													
Bulbophyllum haniffii								LC												
Bulbophyllum mobilifilum							EN													
Bulbophyllum novemfilum							EN													
Bulbophyllum octorhopalon							CR													
Bulbophyllum papillosofilum								DD												
Bulbophyllum paulianum								LC												
Bulbophyllum reductum								DD												
Bulbophyllum rigidifilum								DD												
Bulbophyllum sagemuelleri							CR													
Bulbophyllum santoense							DD													
Bulbophyllum sarasinorum							DD													
Bulbophyllum savaiense							LC													
Bulbophyllum spodotriche							DD													
Bulbophyllum stenomeris							DD													
Bulbophyllum streptotriche							VU													
Bulbophyllum undecifilum							VU													
Bulbophyllum xanthomelanon							DD													
Dendrobium bicaudatum							LC													
Dendrobium capra							EN													
Dendrobium macranthum							LC													
Dendrobium mooreanum							NT													
Dendrobium okabeanum							VU													
Dendrobium palawense							DD													
Dendrobium parvulum							LC													
Dendrobium prasinum							NT													
Dendrobium pseudoconanthum							EN													
Dendrobium rennellii							VU													
Dendrobium ruginosum							LC													
Dendrobium samoense							NT													
Dendrobium sancristobalense							NT													
Dendrobium spathulatum							DD													
Dendrobium strebloceras							DD													
Dendrobium taurinum							DD													
Dendrobium tokai							NT													
Dendrobium violaceominiatum							NT													
Dendrobium polysema								LC												
Dendrobium gouldii								LC												
Dracaena xiphophylla								LC												
Cypella boliviana							DD													
Epipactis cupaniana											EN									
Cynorkis brevicalcar											DD									
Holothrix johnstonii											DD									
Gladiolus bellus											DD									
Liparis polycardia								VU												
Liparis warpuri								EN												
Aloe belitsakensis							EN													
Aa calceata							DD													
Aa mandonii							DD													
Aa matthewsii							DD													
Myrosmodes nubigenum								LC												
Myrosmodes rostratum							DD													
Myrosmodes brevis								DD												
Myrosmodes chiogena								LC												
Myrosmodes gymnandra								LC												
Myrosmodes nervosa								LC												
Myrosmodes paludosa								LC												
Myrosmodes rhynchocarpum								LC												
Allium noeanum								EN												
Allium trachycoleum								DD												
Allium pustulosum								DD												
Prospero pulchellum								DD												
Cryptostephanus vansonii								LC												
Dierama inyangense								EN												
Gladiolus zimbabweensis								VU												
Cynorkis anisoloba								LC												
Disa zimbabweensis								VU												
Crinum ornatum							LC													
Crinum glaucum							LC													
Crinum natans							LC													
Crinum purpurascens							LC													
Crinum scillifolium							DD													
Beaucarnea gracilis							EN													
Beaucarnea hiriartiae							CR													
Beaucarnea recurvata							CR													
Beaucarnea sanctomariana							EN													
